Name,Phase,Namespace,Node Name,Restart Count,Host IP,Pod IP
cert-manager-848f547974-cj69t,Running,cert-manager,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.194
cert-manager-cainjector-54f4cc6b5-lzbm4,Running,cert-manager,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.26
cert-manager-webhook-7c9588c76-5nwvn,Running,cert-manager,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.196
curl-priv-deploy-86895f6db5-s9mwh,Running,default,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,76,10.208.3.147,10.208.3.147
karma-traefik-certs-kommander-default-workspace-cert-federtn2l6,Running,kommander-default-workspace,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.25
kubecost-traefik-certs-kommander-default-workspace-cert-fesnlzq,Running,kommander-default-workspace,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.67
prometheus-traefik-certs-kommander-default-workspace-cert-7hfzz,Running,kommander-default-workspace,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.0
helm-controller-7f659cdfbb-rwb59,Running,kommander-flux,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.106
kustomize-controller-587466496c-4nqrx,Running,kommander-flux,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.107
notification-controller-5d557cf8fb-6v5mc,Running,kommander-flux,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.108
source-controller-5c7df6f4-9vt27,Running,kommander-flux,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.109
alertmanager-kube-prometheus-stack-alertmanager-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.92
alertmanager-kube-prometheus-stack-alertmanager-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.92
backup-driver-749676cf67-fp87t,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.87
cluster-observer-2360587938-7cddfc5588-ddh4k,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.3
console-7c47d4d755-krqnc,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.5
datamgr-for-vsphere-plugin-7mkmw,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.89
datamgr-for-vsphere-plugin-7xmbj,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.21
datamgr-for-vsphere-plugin-lx96g,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.207
datamgr-for-vsphere-plugin-mhb7p,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.18
dex-5d65fc965c-9zncb,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.4
dex-dex-controller-6cbd45c568-mwhs9,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.6
dex-dex-controller-6cbd45c568-mwhs9,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.6
dex-k8s-authenticator-846df46d9c-b56tj,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.208
gatekeeper-audit-b645cff64-vmb9z,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.5
gatekeeper-controller-manager-67cf6d7f6-9fpq4,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.8
gatekeeper-controller-manager-67cf6d7f6-hhq68,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.70
gitea-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.105
gitea-memcached-6b866d8b48-hg8hz,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.34
gitea-postgresql-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.32
grafana-logging-7b664cd84d-dnww8,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.6
grafana-logging-7b664cd84d-dnww8,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.6
grafana-loki-loki-distributed-compactor-84484896f7-2xlnc,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.93
grafana-loki-loki-distributed-distributor-548fd5d75-f2bsc,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.80
grafana-loki-loki-distributed-gateway-679779974d-7nlll,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.4
grafana-loki-loki-distributed-ingester-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.95
grafana-loki-loki-distributed-querier-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.14
grafana-loki-loki-distributed-query-frontend-6dcb989885-kq9bh,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.17
grafana-loki-minio-ss-0-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.24
