Name,Phase,Namespace,Node Name,Restart Count,Host IP,Pod IP
kubefed-controller-manager-68b48cf454-dlnsn,Running,kube-federation-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.104
kubefed-controller-manager-68b48cf454-skr6l,Running,kube-federation-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.33
cluster-autoscaler-68c759fbf6-98q6t,Running,kube-system,kaas-8002-fullvsphere-control-plane-qqzgf,11,10.208.3.14,10.170.14.201
coredns-7996bc4746-cgzr7,Running,kube-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.19
coredns-7996bc4746-dh2wf,Running,kube-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.78
etcd-kaas-8002-fullvsphere-control-plane-84mh8,Running,kube-system,kaas-8002-fullvsphere-control-plane-84mh8,25,10.208.3.12,10.208.3.12
etcd-kaas-8002-fullvsphere-control-plane-j6hfv,Running,kube-system,kaas-8002-fullvsphere-control-plane-j6hfv,24,10.208.3.13,10.208.3.13
etcd-kaas-8002-fullvsphere-control-plane-qqzgf,Running,kube-system,kaas-8002-fullvsphere-control-plane-qqzgf,24,10.208.3.14,10.208.3.14
etcdbrctl-daily-27826980-th95v,Running,kube-system,kaas-8002-fullvsphere-control-plane-84mh8,0,10.208.3.12,10.208.3.12
k8sdir-daily-27826980-vpgtl,Succeeded,kube-system,kaas-8002-fullvsphere-control-plane-j6hfv,0,10.208.3.13,10.208.3.13
kube-apiserver-kaas-8002-fullvsphere-control-plane-84mh8,Running,kube-system,kaas-8002-fullvsphere-control-plane-84mh8,24,10.208.3.12,10.208.3.12
kube-apiserver-kaas-8002-fullvsphere-control-plane-j6hfv,Running,kube-system,kaas-8002-fullvsphere-control-plane-j6hfv,23,10.208.3.13,10.208.3.13
kube-apiserver-kaas-8002-fullvsphere-control-plane-qqzgf,Running,kube-system,kaas-8002-fullvsphere-control-plane-qqzgf,23,10.208.3.14,10.208.3.14
kube-controller-manager-kaas-8002-fullvsphere-control-plane-84mh8,Running,kube-system,kaas-8002-fullvsphere-control-plane-84mh8,7,10.208.3.12,10.208.3.12
kube-controller-manager-kaas-8002-fullvsphere-control-plane-j6hfv,Running,kube-system,kaas-8002-fullvsphere-control-plane-j6hfv,6,10.208.3.13,10.208.3.13
